api_type,file,requests,codes_200,vusers_failed,success_rate_pct,mean_ms,p50_ms,p95_ms,p99_ms,downloaded_bytes
graphql,logs/artillery_graph_parity.json,3000,3000,0,100.00,131.7,115.6,237.5,361.5,13320000
rest,logs/artillery_rest_parity_5min.json,3000,2571,429,85.70,511.5,242.3,1587.9,3984.7,593614002
